"rid","binaryID"
76,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000000111"
77,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010110101"
81,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110000101"
86,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101000"
87,"1000111011011111111001011100111001111110001100101010011011011111001101100110111001100000"
89,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111101"
90,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101110"
93,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111101"
94,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101011101000011"
95,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110000110"
97,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111000110000111"
102,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010110100"
105,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101100"
108,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101011011"
111,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000010011010101110100001"
113,"1000111011011111111001011100111001111110001100101010011011011111001101100110111001100001"
119,"100011101101111111100101110011100111111000110010101001101101111100110110011011111001111011111000"
121,"100011101101111111100101110011100111111000110010101001101101111100110110011011100000000000"
127,"10001110110111111110010111001110011111100011001010100110110111110011011001101111100111101111001011011000111111110"
132,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010000"
133,"1000111011011111111001011100111001111110001100101010011011011111001101100110111001101011010"
134,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101000"
136,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101001"
138,"10001110110111111110010111001110011111100011001010100110110111110011011001101110000001001101010111010001"
139,"1000111011011111111001011100111001111110001100101010011011011111001101100110111000000100110101011101001"
140,"1000111011011111111001011100111001111110001100101010011011011111001101100110111110011110111100101101100011111110"
